user_id,date,login_hour_avg,login_hour_dev,num_sessions,unknown_device_flag,unknown_location_flag,files_accessed,sensitive_files_accessed,data_volume_mb,avg_session_duration,failed_logins,anomaly_flag,anomaly_score
U001,2026-08-20,9.233333333333333,0.0677083333333321,1,0,0,21,3,67.1,96.0,0,1,-0.1455149236646236
U001,2026-08-21,8.916666666666666,0.2489583333333342,1,0,0,13,7,76.33,109.0,0,1,-0.12285695650466599
U001,2026-08-22,9.816666666666666,0.6510416666666661,1,0,0,16,3,79.28,70.0,0,1,-0.1492161113284456
U001,2026-08-23,6.666666666666667,2.4989583333333334,1,0,0,25,6,102.97,89.0,0,1,-0.038093531746211495
U001,2026-08-24,8.2,0.9656250000000012,1,0,0,9,3,74.49,71.0,0,1,-0.12942879872853758
U001,2026-08-25,9.8,0.6343750000000004,1,0,0,20,3,86.19,102.0,0,1,-0.14727596541424742
U001,2026-08-26,9.833333333333334,0.6677083333333336,1,0,0,20,4,34.93,134.0,0,1,-0.11972594247419771
U001,2026-08-27,10.083333333333334,0.9177083333333336,1,0,0,17,5,55.65,78.0,0,1,-0.1464740573444735
U001,2026-08-28,9.55,0.3843750000000003,1,0,0,16,5,58.96,76.0,0,1,-0.14936027353286707
U001,2026-08-29,8.6,0.5656250000000007,1,0,0,16,8,103.05,50.0,0,1,-0.09617985338168694
U001,2026-08-30,7.9,1.265625,1,0,0,19,5,35.45,106.0,0,1,-0.1312450361604156
U001,2026-08-31,9.916666666666666,0.7510416666666657,1,0,0,21,7,84.87,113.0,0,1,-0.12995530701525554
U001,2026-09-01,9.9,0.734375,1,0,0,18,2,74.98,78.0,0,1,-0.15280851688836494
U001,2026-09-02,8.95,0.215625000000001,1,0,0,22,7,60.48,20.0,0,1,-0.06897569287932215
U001,2026-09-03,8.6,0.5656250000000007,1,0,0,18,5,61.05,118.0,0,1,-0.14616709430855457
U001,2026-09-04,9.816666666666666,0.6510416666666661,1,0,0,11,0,108.6,42.0,0,1,-0.06763063670941039
U001,2026-09-05,9.95,0.7843749999999989,1,0,0,17,4,58.48,92.0,0,1,-0.15223380325916097
U001,2026-09-07,7.65,1.515625,1,0,0,17,6,83.07,61.0,0,1,-0.11737329681431274
U001,2026-09-09,8.9,0.265625,1,0,0,13,3,83.66,52.0,0,1,-0.13006755519788232
