user_id,date,login_hour_avg,login_hour_dev,num_sessions,unknown_device_flag,unknown_location_flag,files_accessed,sensitive_files_accessed,data_volume_mb,avg_session_duration,failed_logins
U001,2026-08-20,9.233333333333333,0.06770833333333215,1,0,0,21,3,67.1,96.0,0
U001,2026-08-21,8.916666666666666,0.24895833333333428,1,0,0,13,7,76.33,109.0,0
U001,2026-08-22,9.816666666666666,0.6510416666666661,1,0,0,16,3,79.28,70.0,0
U001,2026-08-23,6.666666666666667,2.4989583333333334,1,0,0,25,6,102.97,89.0,0
U001,2026-08-24,8.2,0.9656250000000011,1,0,0,9,3,74.49,71.0,0
U001,2026-08-25,9.8,0.6343750000000004,1,0,0,20,3,86.19,102.0,0
U001,2026-08-26,9.833333333333334,0.6677083333333336,1,0,0,20,4,34.93,134.0,0
U001,2026-08-27,10.083333333333334,0.9177083333333336,1,0,0,17,5,55.65,78.0,0
U001,2026-08-28,9.55,0.38437500000000036,1,0,0,16,5,58.96,76.0,0
U001,2026-08-29,8.6,0.5656250000000007,1,0,0,16,8,103.05,50.0,0
U001,2026-08-30,7.9,1.265625,1,0,0,19,5,35.45,106.0,0
U001,2026-08-31,9.916666666666666,0.7510416666666657,1,0,0,21,7,84.87,113.0,0
U001,2026-09-01,9.9,0.734375,1,0,0,18,2,74.98,78.0,0
U001,2026-09-02,8.95,0.21562500000000107,1,0,0,22,7,60.48,20.0,0
U001,2026-09-03,8.6,0.5656250000000007,1,0,0,18,5,61.05,118.0,0
U001,2026-09-04,9.816666666666666,0.6510416666666661,1,0,0,11,0,108.6,42.0,0
U001,2026-09-05,9.95,0.7843749999999989,1,0,0,17,4,58.48,92.0,0
U001,2026-09-07,7.65,1.515625,1,0,0,17,6,83.07,61.0,0
U001,2026-09-09,8.9,0.265625,1,0,0,13,3,83.66,52.0,0
U001,2026-09-10,9.25,0.08437499999999964,1,0,0,21,5,70.92,83.0,0
U001,2026-09-12,8.183333333333334,0.9822916666666668,1,0,0,11,2,82.22,78.0,0
U001,2026-09-13,9.083333333333334,0.08229166666666643,1,0,0,17,2,71.57,77.0,1
U001,2026-09-14,8.033333333333333,1.1322916666666671,1,0,0,20,3,26.17,75.0,0
U001,2026-09-15,8.516666666666667,0.6489583333333329,1,0,0,16,6,88.05,86.0,0
U001,2026-09-16,10.1,0.9343749999999993,1,0,0,20,8,92.48,101.0,0
U001,2026-09-17,9.516666666666667,0.35104166666666714,1,0,0,16,4,79.48,130.0,0
U001,2026-09-18,10.9,1.734375,1,0,0,16,4,82.06,104.0,0
U001,2026-09-19,10.683333333333334,1.5177083333333332,1,0,0,24,10,109.84,142.0,0
U001,2026-09-20,9.916666666666666,0.7510416666666657,1,0,0,14,3,114.62,123.0,0
