user_id,date,login_hour_avg,login_hour_dev,num_sessions,unknown_device_flag,unknown_location_flag,files_accessed,sensitive_files_accessed,data_volume_mb,avg_session_duration,failed_logins,anomaly_flag,anomaly_score,risk_score,risk_level
U001,2026-08-20,9.233333333333333,0.0677083333333321,1,0,0,21,3,67.1,96.0,0,1,-0.1455149236646236,0,LOW
U001,2026-08-21,8.916666666666666,0.2489583333333342,1,0,0,13,7,76.33,109.0,0,1,-0.1228569565046659,0,LOW
U001,2026-08-22,9.816666666666666,0.6510416666666661,1,0,0,16,3,79.28,70.0,0,1,-0.1492161113284456,0,LOW
U001,2026-08-23,6.666666666666667,2.4989583333333334,1,0,0,25,6,102.97,89.0,0,1,-0.0380935317462114,10,LOW
U001,2026-08-24,8.2,0.9656250000000012,1,0,0,9,3,74.49,71.0,0,1,-0.1294287987285375,0,LOW
U001,2026-08-25,9.8,0.6343750000000004,1,0,0,20,3,86.19,102.0,0,1,-0.1472759654142474,0,LOW
U001,2026-08-26,9.833333333333334,0.6677083333333336,1,0,0,20,4,34.93,134.0,0,1,-0.1197259424741977,0,LOW
U001,2026-08-27,10.083333333333334,0.9177083333333336,1,0,0,17,5,55.65,78.0,0,1,-0.1464740573444735,0,LOW
U001,2026-08-28,9.55,0.3843750000000003,1,0,0,16,5,58.96,76.0,0,1,-0.149360273532867,0,LOW
U001,2026-08-29,8.6,0.5656250000000007,1,0,0,16,8,103.05,50.0,0,1,-0.0961798533816869,0,LOW
U001,2026-08-30,7.9,1.265625,1,0,0,19,5,35.45,106.0,0,1,-0.1312450361604156,0,LOW
U001,2026-08-31,9.916666666666666,0.7510416666666657,1,0,0,21,7,84.87,113.0,0,1,-0.1299553070152555,0,LOW
U001,2026-09-01,9.9,0.734375,1,0,0,18,2,74.98,78.0,0,1,-0.1528085168883649,0,LOW
U001,2026-09-02,8.95,0.215625000000001,1,0,0,22,7,60.48,20.0,0,1,-0.0689756928793221,0,LOW
U001,2026-09-03,8.6,0.5656250000000007,1,0,0,18,5,61.05,118.0,0,1,-0.1461670943085545,0,LOW
U001,2026-09-04,9.816666666666666,0.6510416666666661,1,0,0,11,0,108.6,42.0,0,1,-0.0676306367094103,0,LOW
U001,2026-09-05,9.95,0.7843749999999989,1,0,0,17,4,58.48,92.0,0,1,-0.1522338032591609,0,LOW
U001,2026-09-07,7.65,1.515625,1,0,0,17,6,83.07,61.0,0,1,-0.1173732968143127,0,LOW
U001,2026-09-09,8.9,0.265625,1,0,0,13,3,83.66,52.0,0,1,-0.1300675551978823,0,LOW
U001,2026-09-10,9.25,0.0843749999999996,1,0,0,21,5,70.92,83.0,0,1,-0.1506131407496082,0,LOW
U001,2026-09-12,8.183333333333334,0.9822916666666668,1,0,0,11,2,82.22,78.0,0,1,-0.1431513768302292,0,LOW
U001,2026-09-13,9.083333333333334,0.0822916666666664,1,0,0,17,2,71.57,77.0,1,1,-0.020511320190334,0,LOW
U001,2026-09-14,8.033333333333333,1.1322916666666671,1,0,0,20,3,26.17,75.0,0,1,-0.1352226559816936,0,LOW
U001,2026-09-15,8.516666666666667,0.6489583333333329,1,0,0,16,6,88.05,86.0,0,1,-0.145985427053776,0,LOW
U001,2026-09-16,10.1,0.9343749999999992,1,0,0,20,8,92.48,101.0,0,1,-0.1152099828661064,0,LOW
U001,2026-09-17,9.516666666666667,0.3510416666666671,1,0,0,16,4,79.48,130.0,0,1,-0.1296980399314374,0,LOW
U001,2026-09-18,10.9,1.734375,1,0,0,16,4,82.06,104.0,0,1,-0.1031991865145107,0,LOW
U001,2026-09-19,10.683333333333334,1.5177083333333332,1,0,0,24,10,109.84,142.0,0,-1,0.0003843321104244,20,LOW
U001,2026-09-20,9.916666666666666,0.7510416666666657,1,0,0,14,3,114.62,123.0,0,1,-0.1027394685883633,0,LOW
U001,2026-09-21,9.25,0.0843749999999996,1,0,0,20,4,77.59,105.0,0,1,-0.1457961852789612,0,LOW
U001,2026-09-22,9.283333333333331,0.1177083333333328,1,0,0,18,6,49.13,100.0,0,1,-0.133469054483947,0,LOW
U001,2026-09-23,8.3,0.8656249999999996,1,0,0,17,7,108.97,95.0,0,1,-0.1246179854722114,0,LOW
U002,2026-08-20,10.016666666666667,1.0365591397849467,1,0,0,19,1,41.43,66.0,0,1,-0.1349791357091656,0,LOW
U002,2026-08-21,7.2,1.7801075268817206,1,0,0,12,1,71.08,124.0,0,1,-0.1136598832576721,0,LOW
U002,2026-08-23,8.716666666666667,0.263440860215054,1,0,0,10,1,57.79,128.0,1,1,-0.0005764981656367,0,LOW
U002,2026-08-24,9.8,0.81989247311828,1,0,0,13,1,40.6,35.0,0,1,-0.1070781769051278,0,LOW
U002,2026-08-25,10.2,1.2198924731182783,1,0,0,10,0,72.65,100.0,0,1,-0.1209756493814002,0,LOW
U002,2026-08-26,8.433333333333334,0.5467741935483872,1,0,0,12,1,65.74,108.0,0,1,-0.1535141847881624,0,LOW
U002,2026-08-27,10.9,1.91989247311828,1,0,0,18,0,29.83,67.0,0,1,-0.0842777129565561,0,LOW
U002,2026-08-28,10.533333333333331,1.5532258064516125,1,0,0,14,2,34.68,107.0,0,1,-0.1210434956200121,0,LOW
U002,2026-08-29,11.066666666666666,2.0865591397849457,1,0,0,15,3,25.51,75.0,0,1,-0.072440754780689,10,LOW
U002,2026-08-30,9.516666666666667,0.5365591397849467,1,0,0,24,1,46.21,99.0,0,1,-0.1330433288297492,0,LOW
U002,2026-09-01,7.2,1.7801075268817206,1,0,0,13,2,35.43,78.0,0,1,-0.1250118994576777,0,LOW
U002,2026-09-02,9.266666666666667,0.2865591397849467,1,0,0,13,0,57.2,55.0,0,1,-0.1293949830408459,0,LOW
U002,2026-09-03,7.583333333333333,1.3967741935483875,1,0,0,19,2,53.01,78.0,0,1,-0.1422944658988748,0,LOW
U002,2026-09-05,7.883333333333333,1.096774193548388,1,0,0,18,3,60.99,73.0,0,1,-0.1514584786466667,0,LOW
U002,2026-09-06,6.4,2.5801075268817204,1,0,0,22,2,66.86,113.0,0,1,-0.0420454826464758,10,LOW
U002,2026-09-07,8.966666666666667,0.0134408602150539,1,0,0,17,1,55.48,99.0,0,1,-0.138753176944739,0,LOW
U002,2026-09-08,9.883333333333333,0.903225806451612,1,0,0,14,0,52.44,91.0,0,1,-0.147124749048592,0,LOW
U002,2026-09-09,9.85,0.8698924731182789,1,0,0,9,1,62.05,105.0,0,1,-0.1354195760306334,0,LOW
U002,2026-09-10,9.083333333333334,0.1032258064516131,1,0,0,14,0,49.07,68.0,0,1,-0.1348007881233489,0,LOW
U002,2026-09-11,8.416666666666666,0.5634408602150547,1,0,0,16,1,70.13,31.0,0,1,-0.111133751717164,0,LOW
U002,2026-09-12,8.75,0.2301075268817207,1,0,0,12,0,31.47,119.0,0,1,-0.1200753214720453,0,LOW
U002,2026-09-13,8.116666666666667,0.8634408602150536,1,0,0,23,2,47.35,51.0,0,1,-0.1276709718346653,0,LOW
U002,2026-09-14,9.75,0.7698924731182792,1,0,0,11,2,49.59,34.0,0,1,-0.1027108261717325,0,LOW
U002,2026-09-15,9.633333333333333,0.6532258064516121,1,0,0,15,4,72.75,105.0,0,1,-0.1531957694107854,0,LOW
U002,2026-09-16,7.35,1.6301075268817211,1,0,0,13,1,45.08,81.0,0,1,-0.1395557617423511,0,LOW
U002,2026-09-17,9.666666666666666,0.6865591397849453,1,0,0,14,2,60.93,64.0,0,1,-0.1498944598521921,0,LOW
U002,2026-09-18,8.983333333333333,0.0032258064516117,1,0,0,13,0,44.39,86.0,0,1,-0.126478830745186,0,LOW
U002,2026-09-19,9.516666666666667,0.5365591397849467,1,0,0,23,1,25.44,92.0,0,1,-0.1234690741542006,0,LOW
U002,2026-09-20,8.65,0.3301075268817204,1,0,0,9,1,53.0,72.0,0,1,-0.1430370830277572,0,LOW
U002,2026-09-21,9.616666666666667,0.6365591397849464,1,0,0,17,1,46.66,114.0,0,1,-0.1502856917266749,0,LOW
U002,2026-09-23,7.433333333333334,1.5467741935483872,1,0,0,11,0,47.8,114.0,0,1,-0.1221607158853943,0,LOW
U003,2026-08-20,7.75,0.9483870967741924,1,0,0,16,1,41.57,72.0,0,1,-0.1485795752604414,0,LOW
U003,2026-08-21,8.033333333333333,0.6650537634408593,1,0,0,17,2,41.51,106.0,0,1,-0.1513355287315504,0,LOW
U003,2026-08-22,8.85,0.1516129032258071,1,0,0,17,1,42.88,73.0,0,1,-0.1473069249294147,0,LOW
U003,2026-08-23,7.066666666666666,1.631720430107526,1,0,0,20,5,37.34,95.0,0,1,-0.1227410948722374,0,LOW
U003,2026-08-24,9.816666666666666,1.118279569892474,1,0,0,15,0,54.67,128.0,0,1,-0.1250145427577207,0,LOW
U003,2026-08-25,10.416666666666666,1.7182795698924735,1,0,0,10,2,42.35,79.0,0,1,-0.1152933413298441,0,LOW
U003,2026-08-26,7.1,1.5983870967741929,1,0,0,16,1,64.58,89.0,0,1,-0.1416559975595873,0,LOW
U003,2026-08-27,7.433333333333334,1.265053763440859,1,0,0,17,4,31.89,114.0,0,1,-0.1250985241828029,0,LOW
U003,2026-08-28,10.183333333333334,1.484946236559141,1,0,0,10,3,69.66,136.0,0,1,-0.0915931381431029,0,LOW
U003,2026-08-29,10.533333333333331,1.834946236559141,1,0,0,18,2,70.7,98.0,0,1,-0.1261648691694625,0,LOW
U003,2026-08-30,8.966666666666667,0.2682795698924742,1,0,0,15,1,45.79,114.0,0,1,-0.1460901758743725,0,LOW
U003,2026-08-31,7.716666666666667,0.9817204301075256,1,0,0,13,3,36.65,44.0,0,1,-0.1114911851740028,0,LOW
U003,2026-09-01,8.483333333333333,0.21505376344086,1,0,0,17,1,59.11,122.0,0,1,-0.139208640516157,0,LOW
U003,2026-09-03,10.316666666666666,1.618279569892474,1,0,0,15,2,40.35,115.0,0,1,-0.1231452667821604,0,LOW
U003,2026-09-04,8.666666666666666,0.0317204301075264,1,0,0,12,2,56.42,112.0,0,1,-0.1271052024499668,0,LOW
U003,2026-09-05,10.466666666666669,1.7682795698924745,1,0,0,12,2,70.89,83.0,0,1,-0.1232605317996471,0,LOW
U003,2026-09-06,8.616666666666667,0.0817204301075253,1,0,0,13,1,38.79,113.0,0,1,-0.1336016735947315,0,LOW
U003,2026-09-07,8.6,0.0983870967741928,1,0,0,13,1,36.49,105.0,0,1,-0.1409220532793753,0,LOW
U003,2026-09-09,8.6,0.0983870967741928,1,0,0,17,1,53.45,102.0,0,1,-0.1512348337155357,0,LOW
U003,2026-09-10,8.466666666666667,0.2317204301075257,1,0,0,21,1,75.16,77.0,0,1,-0.1517869013803615,0,LOW
U003,2026-09-11,8.316666666666666,0.3817204301075261,1,0,0,15,3,58.02,103.0,0,1,-0.1557493325919209,0,LOW
U003,2026-09-12,8.283333333333333,0.4150537634408593,1,0,0,12,0,60.98,119.0,0,1,-0.1329208553282247,0,LOW
U003,2026-09-13,7.433333333333334,1.265053763440859,1,0,0,19,1,43.06,77.0,0,1,-0.1386685984172772,0,LOW
U003,2026-09-14,6.916666666666667,1.7817204301075256,1,0,0,10,1,42.11,124.0,0,1,-0.0915800150234303,0,LOW
U003,2026-09-16,9.516666666666667,0.818279569892475,1,0,0,8,0,53.77,61.0,0,1,-0.1175331822724805,0,LOW
U003,2026-09-17,10.25,1.5516129032258077,1,0,0,11,0,60.43,116.0,0,1,-0.1190922138760968,0,LOW
U003,2026-09-18,7.283333333333333,1.415053763440859,1,0,0,17,2,68.45,33.0,0,1,-0.0919289170691426,0,LOW
U003,2026-09-19,9.133333333333333,0.4349462365591403,1,0,0,8,1,18.42,62.0,0,1,-0.0984390171792417,0,LOW
U003,2026-09-21,8.483333333333333,0.21505376344086,1,0,0,10,1,49.09,95.0,0,1,-0.1458594405722946,0,LOW
U003,2026-09-22,8.816666666666666,0.1182795698924739,1,0,0,14,1,38.87,80.0,0,1,-0.1482127648248381,0,LOW
U003,2026-09-23,9.133333333333333,0.4349462365591403,1,0,0,10,1,63.31,109.0,1,1,-0.0145270024523804,0,LOW
U004,2026-08-20,6.566666666666666,2.060858585858586,1,0,0,14,4,72.57,77.0,0,1,-0.0843095794998349,10,LOW
U004,2026-08-21,7.816666666666666,0.8108585858585862,1,0,0,20,8,61.85,67.0,0,1,-0.1225370963282745,0,LOW
U004,2026-08-22,9.283333333333331,0.6558080808080806,1,0,0,21,6,96.59,52.0,0,1,-0.1268347580111267,0,LOW
U004,2026-08-23,9.633333333333333,1.0058080808080805,1,0,0,18,5,115.22,70.0,0,1,-0.1236242068250754,0,LOW
U004,2026-08-24,6.966666666666667,1.6608585858585858,1,0,0,15,1,47.71,73.0,0,1,-0.127410184711621,0,LOW
U004,2026-08-25,8.683333333333334,0.0558080808080809,1,0,0,21,6,35.72,97.0,0,1,-0.1255643884637396,0,LOW
U004,2026-08-26,8.366666666666667,0.2608585858585854,1,0,0,15,4,68.8,74.0,0,1,-0.153453695613412,0,LOW
U004,2026-08-27,8.216666666666667,0.4108585858585858,1,0,0,18,3,73.5,102.0,0,1,-0.1555856693164417,0,LOW
U004,2026-08-29,8.983333333333333,0.3558080808080799,1,0,0,15,3,23.08,95.0,0,1,-0.1354021968855913,0,LOW
U004,2026-08-30,8.083333333333334,0.5441919191919187,1,0,0,15,5,57.33,50.0,0,1,-0.1300841702104898,0,LOW
U004,2026-08-31,9.1,0.472474747474747,1,0,0,17,4,69.87,110.0,1,1,-0.0238960086523636,0,LOW
